cluster,size,topic_hint,sample_titles_representative
3,45,"report, year, half, half year, financial, june, january, january june, financial report, report january, interim, revenue","Apetit Plc's Half-Year Report 1 January — 30 June 2025: Operating result of the first half of the year decreased from the comparison year - profit guidance unchanged | HONKARAKENNE OYJ HALF-YEAR REPORT 1 JANUARY TO 30 JUNE 2025 | Kojamo plc Half-Year Financial Report 1 January-30 June 2025 | VR's Half-year Report 1 January to 30 June 2025: Profitability remained strong in the second quarter | Finnvera Group's Half-Year Report 1 January-30 June 2025: Positive economic outlook at the start of the year, the volume of domestic and export financing granted by Finnvera increased - Finnvera Group's result EUR 150 million | KH Group Plc's Half-Year-Report 1 January-30 June 2025: KH-Koneet's profitability declined - NRG performed well, orderbook at record-high level | Aspo Plc's Half-year Financial Report, January 1 - June 30, 2025: Continued profit improvement in a challenging market | NEXSTIM PLC HALF-YEAR REPORT JANUARY 1 - JUNE 30, 2025 (UNAUDITED)"
36,44,"osakkeiden, omien osakkeiden, omien, oyj, osakkeiden hankinta, oyj omien, hankinta, asuntosalkku, asuntosalkku oyj, witted, alma, fiskars oyj",Muutos Valmet Oyj:n omien osakkeiden määrässä | Tokmanni Group Oyj: Omien osakkeiden hankinta 21.8.2025 | Tokmanni Group Oyj: Omien osakkeiden hankinta 20.8.2025 | Tokmanni Group Oyj: OMIEN OSAKKEIDEN HANKINTA 19.8.2025 | Alma Media Oyj: Omien osakkeiden hankinta 19.8.2025 | Alma Media Oyj: Omien osakkeiden hankinta 18.8.2025 | Alma Media Oyj: Omien osakkeiden hankinta 14.8.2025 | Alma Media Oyj: Omien osakkeiden hankinta 15.8.2025
0,43,"msek, uppgick msek, uppgick, juni, kvartalet, resultat, delarsrapport, januari juni, januari, andra, msek resultat, andra kvartalet",Metacon publicerar delårsrapport för andra kvartalet 2025 | Delårsrapport januari - juni 2025 | Delårsrapport januari - juni 2025 | STARK TILLVÄXT | Delårsrapport januari-juni 2025 för Concejo AB (publ) | Compodium International AB (publ): Delårsrapport april - juni 2025 | DistIT: Delårsrapport januari-juni 2025 | Delårsrapport för perioden 1 januari - 30 juni 2025
1,43,"investeringsforeningen, halvarsrapport, news, invest, vedhæftet, fil, vedhæftet fil, company news, this, was, invest halvarsrapport, com",Halvårsrapport 2025 | Halvårsrapport for Investeringsforeningen Sydinvest | Investeringsforeningen Multi Manager Invest - halvårsrapport for 2025 | Storaktionærmeddelelse | Investeringsforeningen Fundamental Invest - Halvårsrapport 2025 | Investeringsforeningen Falcon Invest - Halvårsrapport 2025 | Investeringsforeningen IA Invest - Halvårsrapport 2025 | Halvårsrapport for Værdipapirfonden Sydinvest
17,42,"presentation, report, webcast, via, interim, conference, interim report, invitation, you, https, quarter, questions",Invitation to presentation of Embracer Group’s Q1 report | Invitation to presentation of AAK´s second quarter 2025 report | Presentation of Viva Wine Group's Q2-report 2025 | Invitation to Presentation of Pierce Group's Interim Report (Q2 2025) | Invitation to presentation of Eolus' interim report for the second quarter 2025 on 26 August 2025 | Vitec Software Group Invites You to a Presentation of the Interim Report January-June 2025 | Invitation to presentation of engcon’s report for the second quarter 2025 | Invitation to presentation of Castellum’s half-year report January-June 2025
16,39,"sek, sek million, amounted, million, amounted sek, net, june, interim report, interim, quarter, operating, profit","Interim report January - June 2025 | Starbreeze Interim Report January-June 2025 | Vitec Software Group Interim report January–June 2025 | Goodbye Kansas Group Interim Report, Apr-Jun 2025 | Interim Report for the Period April 1, 2025, to June 30, 2025 | Q2 Interim Report: Commercial Progress and Reduced Costs to Meet a Cautious Market | Metacon publishes interim report for Q2 2025 | Embracer Group publishes Interim Report Q1, April-June 2025: Adjusted EBIT amounted to SEK 75 million"
22,38,"transactions, managers, managers transactions, volume, notification, transaction, corporation, nokia, corporation managers, fortum, type, plc managers",Nitro Games Oyj: Managers' Transactions | Fortum Corporation: Managers' transactions - Markus Rauramo | Fortum Corporation: Managers' transactions - Nebahat Albayrak | Fortum Corporation: Managers' transactions - Tiina Tuomela | Fortum Corporation: Managers' transactions - Peter Strannegård | Fortum Corporation: Managers' transactions - Mikael Lemström | Fortum Corporation: Managers' transactions - Mikael Rönnblad | Fortum Corporation: Managers' transactions - Simon-Erik Ollus
26,37,"bond, trading, bonds, admitted trading, admitted, nasdaq, bond loan, loan issued, loan, nasdaq sto, trading nasdaq, issued",Bond loan(s) issued by Wallenstam AB will be admitted to trading on Nasdaq STO Sustainable Bonds (Record Id 313156) | Bond loan(s) issued by Västerås Stad will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 313289) | Bond loan(s) issued by Landshypotek Bank AB will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 313335) | Bond loan(s) issued by Huddinge Kommun will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 313211) | Bond loan(s) issued by Lunds Kommun will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 313288) | Bond loan(s) issued by FC Husky HoldCo AB (publ) will be admitted to trading on Nasdaq STO FN Transfer Market (Record Id 313162) | Bond loan(s) issued by Eltel AB will be admitted to trading on Nasdaq STO FN Transfer Market (Record Id 313299) | Eltel applies for admission to trading of its Bonds on Nasdaq Transfer Market
30,37,"investeringsforeningen, halvarsrapport, news, invest, vedhæftet, fil, vedhæftet fil, company news, this, was, invest halvarsrapport, com",Greiðslumiðlunin Hringur ehf. : | SíL hs. - ákvörðun vaxta og upplýsingagjöf | BUYBACK OF RIKSBANK CERTIFICATES | Festi hf.: Managers and persons´ closely associated transactions | Fly Play hf.: Approved Resolutions from Shareholders' Meeting | New long name for the instrument issued by 21Shares AG | RESULT OF RIKSBANK CERTIFICATE SALE | LISTING OF ETN ISSUED BY VIRTUNE AB
29,34,"meeting, general, general meeting, board, annual, annual general, extraordinary general, extraordinary, directors, board directors, shareholders, voting","Oncopeptides carries out rights issue of approximately SEK 150 million and provides update regarding the potential partnership in Japan | Qlucore secures guarantee commitments as well as additional subscription commitments ahead of rights issue | Mentice receives approximately SEK 31.95 million through oversubscribed rights issue | Xspray resolves on a rights issue of approximately SEK 130 million with an over-allotment issue and carries out debt refinancing | Arctic Blue Beverages announces outcome in rights issue | Arctic Blue Beverages' fully secured rights issue powers strategic shift, subscription period ends on Monday, 18 August 2025 | Realfiction announces outcome in rights issue | LEADING EDGE MATERIALS ANNOUNCES CLOSING OF PREVIOUSLY ANNOUNCED NON-BROKERED PRIVATE PLACEMENT"
