k,sil_cos,dbi,chi,nnr
10,0.09613122791051865,2.980121150133855,63.54835510253906,0.9909194097616345
15,0.12197470664978027,3.18783445512076,60.24449920654297,0.9640559969731366
20,0.10030470788478851,3.113255979509499,50.1577262878418,0.9561104805145668
25,0.1046711727976799,3.0962208115397436,42.12548065185547,0.9383276579644344
30,0.111762136220932,3.138094761072927,38.16142654418945,0.9375709421112373
35,0.11891116946935654,3.1686777023836057,34.549888610839844,0.9269769201664775
40,0.12623284757137299,3.0293142312086525,31.64009666442871,0.927355278093076
