event_id,event_key,taxonomy_class,company_id,source_type,published_utc,first_seen_utc,doc_id,cluster_id,is_significant,sig_score,decision_version,evidence_snippet,features_json,details_json
c8181d0dc410a2c2d98185cae9e3ded9,guidance_change,earnings_report,name:smart-eye-ab,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:44.984858+00:00,198e9e5cddfeae66,,True,0.82,sig:v1,Smart Eye Interim Report Q2 January-June 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""fwd_cue"", ""trigger_source"": ""fwd_cue""}","{""period"": ""FY2025"", ""metric"": ""guidance"", ""metric_kind"": ""text"", ""basis"": ""organic"", ""unit"": ""text"", ""currency"": null, ""old_low"": null, ""old_high"": null, ""new_low"": null, ""new_high"": null, ""delta_pp"": null, ""delta_pct"": null, ""range_tightened"": null, ""change_label"": null, ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""fwd_cue"", ""trigger_source"": ""fwd_cue"", ""trigger_pattern"": ""(?:\\b(expect|expects|project|projects|aim|target|targets|anticipate|plan|intend|will|should|we\\s+(?:see|believe|expect))\\b)|(?:\\b(f\u00f6rv\u00e4ntar|r\u00e4knar\\s+med|siktar|m\u00e5ls\u00e4tter|planerar|avser|kommer\\s+att|b\u00f6r|vi\\s+ser|vi\\s+tror)\\b)"", ""trigger_match"": ""target"", ""trigger_span"": [2638, 2644]}"
38e3ebe39b4d326cca13048daaf8477f,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.081353+00:00,198ea1f29cfe2486,,True,0.97,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY2025"", ""metric"": ""revenue"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": 8.8, ""old_high"": 8.8, ""new_low"": 3.679, ""new_high"": 3.679, ""delta_pp"": null, ""delta_pct"": -58.19318181818181, ""range_tightened"": 0.0, ""change_label"": ""downgrade"", ""inferred_verb"": ""lower"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
38e3ebe39b4d326cca13048daaf8477f,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.081531+00:00,198ea1f29cfe2486,,True,0.97,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY2025"", ""metric"": ""revenue"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": 3.679, ""old_high"": 3.679, ""new_low"": 4.15, ""new_high"": 4.15, ""delta_pp"": null, ""delta_pct"": 12.802391954335432, ""range_tightened"": 0.0, ""change_label"": ""upgrade"", ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
2eabc35d9b34de5ade9d133f5bf749f7,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.081663+00:00,198ea1f29cfe2486,,True,0.82,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY2024"", ""metric"": ""ebit"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": null, ""old_high"": null, ""new_low"": 152.0, ""new_high"": 152.0, ""delta_pp"": null, ""delta_pct"": null, ""range_tightened"": null, ""change_label"": ""new"", ""inferred_verb"": ""initiate"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
2eabc35d9b34de5ade9d133f5bf749f7,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.081804+00:00,198ea1f29cfe2486,,True,0.97,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY2024"", ""metric"": ""ebit"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": 152.0, ""old_high"": 152.0, ""new_low"": 503.0, ""new_high"": 503.0, ""delta_pp"": null, ""delta_pct"": 230.92105263157893, ""range_tightened"": 0.0, ""change_label"": ""upgrade"", ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
13c0f2760fe07fdf45bf9c431aa15390,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.082630+00:00,198ea1f29cfe2486,,True,0.82,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY-UNKNOWN"", ""metric"": ""revenue"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": null, ""old_high"": null, ""new_low"": 7.6, ""new_high"": 7.6, ""delta_pp"": null, ""delta_pct"": null, ""range_tightened"": null, ""change_label"": ""new"", ""inferred_verb"": ""initiate"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
79baf43b7c6c718ea5d384e3119b0f0d,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.082668+00:00,198ea1f29cfe2486,,True,0.82,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY-UNKNOWN"", ""metric"": ""ebit"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": null, ""old_high"": null, ""new_low"": 7.6, ""new_high"": 7.6, ""delta_pp"": null, ""delta_pct"": null, ""range_tightened"": null, ""change_label"": ""new"", ""inferred_verb"": ""initiate"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
13c0f2760fe07fdf45bf9c431aa15390,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.082896+00:00,198ea1f29cfe2486,,True,0.97,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY-UNKNOWN"", ""metric"": ""revenue"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": 7.6, ""old_high"": 7.6, ""new_low"": 8.8, ""new_high"": 8.8, ""delta_pp"": null, ""delta_pct"": 15.789473684210542, ""range_tightened"": 0.0, ""change_label"": ""upgrade"", ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
79baf43b7c6c718ea5d384e3119b0f0d,guidance_change,earnings_report,name:nasdaq-company-news,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.082937+00:00,198ea1f29cfe2486,,True,0.97,sig:v1,Topsoe half-year statement 2025,"{""plugin"": ""guidance_change"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong""}","{""period"": ""FY-UNKNOWN"", ""metric"": ""ebit"", ""metric_kind"": ""level"", ""basis"": ""reported"", ""unit"": ""ccy"", ""currency"": ""DKK"", ""old_low"": 7.6, ""old_high"": 7.6, ""new_low"": 8.8, ""new_high"": 8.8, ""delta_pp"": null, ""delta_pct"": 15.789473684210542, ""range_tightened"": 0.0, ""change_label"": ""upgrade"", ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""en_any[0]"", ""trigger_source"": ""strong"", ""trigger_pattern"": ""\\b(raise|raises|raised|raising|lower|lowers|lowered|lowering|revise|revises|revised|revising|update|updates|updated|updating|withdraw|withdraws|withdrew|withdrawn|suspend|suspends|suspended|suspending|reaffirm|reaffirms|reaffirmed|reaffirming|narrow|narrows|narrowed|narrowing|tighten|tightens|tightened|tightening|widen|widens|widened|widening)\\b.{0,40}\\b(guidance|outlook|forecast)s?\\b"", ""trigger_match"": ""updates financial outlook"", ""trigger_span"": [3474, 3499]}"
e167c5d99411868cdddb888e59366485,guidance_change,earnings_report,name:shape-robotics-a-s,gmail,2025-08-27 00:00:00+00:00,2025-10-01 15:44:45.120467+00:00,198ea385884277ae,,True,0.82,sig:v1,Shape Robotics - H1 2025 Interim Report,"{""plugin"": ""guidance_change"", ""trigger_label"": ""fwd_cue"", ""trigger_source"": ""fwd_cue""}","{""period"": ""H1-2025"", ""metric"": ""guidance"", ""metric_kind"": ""text"", ""basis"": ""reported"", ""unit"": ""text"", ""currency"": null, ""old_low"": null, ""old_high"": null, ""new_low"": null, ""new_high"": null, ""delta_pp"": null, ""delta_pct"": null, ""range_tightened"": null, ""change_label"": null, ""inferred_verb"": ""raise"", ""direction_hint"": ""up"", ""trigger_label"": ""fwd_cue"", ""trigger_source"": ""fwd_cue"", ""trigger_pattern"": ""(?:\\b(expect|expects|project|projects|aim|target|targets|anticipate|plan|intend|will|should|we\\s+(?:see|believe|expect))\\b)|(?:\\b(f\u00f6rv\u00e4ntar|r\u00e4knar\\s+med|siktar|m\u00e5ls\u00e4tter|planerar|avser|kommer\\s+att|b\u00f6r|vi\\s+ser|vi\\s+tror)\\b)"", ""trigger_match"": ""should"", ""trigger_span"": [377, 383]}"
