,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused
,count,mean,std,min,10%,25%,50%,75%,90%,max,count,mean,std,min,10%,25%,50%,75%,90%,max,count,mean,std,min,10%,25%,50%,75%,90%,max
is_correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,66.0,0.053507575757575754,0.0006150198511019113,0.053,0.0531,0.0532,0.05335,0.053575,0.05385,0.0565,66.0,0.00019393939393939392,0.0004150546906979805,0.0,0.0,0.0,0.0001,0.0002,0.0005,0.0031,66.0,2.944390909090909,4.197901573683598e-05,2.9441,2.9444,2.9444,2.9444,2.9444,2.9444,2.9444
True,40.0,0.0547025,0.0028184818153732583,0.053,0.05319,0.0532,0.0536,0.0545,0.056920000000000005,0.0652,40.0,0.00125,0.0028091425829391524,0.0,0.0,0.0001,0.0002,0.00065,0.0025500000000000006,0.0125,40.0,2.9442825,0.00033656446785963924,2.9429,2.94419,2.9443,2.9444,2.9444,2.9444,2.9444
