,,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_conf_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_margin_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused,ml_entropy_fused
,,count,mean,std,min,10%,25%,50%,75%,90%,max,count,mean,std,min,10%,25%,50%,75%,90%,max,count,mean,std,min,10%,25%,50%,75%,90%,max
is_correct,final_cid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,admission_delisting,14.0,0.05372857142857144,0.000919388234248582,0.0531,0.053130000000000004,0.053224999999999995,0.05345,0.053649999999999996,0.0546,0.0565,14.0,0.00015,0.0002312175133106021,0.0,0.0,0.0,5e-05,0.000175,0.0005100000000000003,0.0007,14.0,2.944371428571429,8.254203058547566e-05,2.9441,2.94433,2.9444,2.9444,2.9444,2.9444,2.9444
False,admission_listing,4.0,0.05355,0.00033166247903553973,0.0531,0.05322,0.0534,0.05365,0.0538,0.0538,0.0538,4.0,0.000175,5e-05,0.0001,0.00013000000000000002,0.000175,0.0002,0.0002,0.0002,0.0002,4.0,2.9444,0.0,2.9444,2.9444,2.9444,2.9444,2.9444,2.9444,2.9444
True,admission_delisting,1.0,0.0532,,0.0532,0.0532,0.0532,0.0532,0.0532,0.0532,0.0532,1.0,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.0,2.9444,,2.9444,2.9444,2.9444,2.9444,2.9444,2.9444,2.9444
True,admission_listing,4.0,0.054875,0.0027512118541956477,0.0534,0.053430000000000005,0.053475,0.05355,0.05495,0.05738,0.059,4.0,0.000825,0.0014522970311429636,0.0,3.0000000000000008e-05,7.500000000000001e-05,0.00015000000000000001,0.0009,0.0021600000000000005,0.003,4.0,2.944275,0.00024999999999986144,2.9439,2.9440500000000003,2.944275,2.9444,2.9444,2.9444,2.9444
